Date,jpm_hist_vol_10,jpm_hist_vol_30,jpm_hist_vol_50,jpm_hist_vol_100,jpm_adj_close,jpm_volume,bac_adj_close,bac_volume,msft_adj_close,msft_volume,jnj_adj_close,jnj_volume,spx_adj_close,spx_volume,fnma_adj_close,fnma_volume,ust_adj_close,FEDL01,CPI,UE,CCI,GDP,citi_adj_close,citi_volume,ms_adj_close,ms_volume,ry_adj_close,ry_volume,wfc_adj_close,wfc_volume,jpm_10d_ma,jpm_20d_ma,jpm_30d_ma,jpm_rsi,bac_10d_ma,bac_20d_ma,bac_30d_ma,bac_rsi,ms_10d_ma,ms_20d_ma,ms_30d_ma,ms_rsi,ry_10d_ma,ry_20d_ma,ry_30d_ma,ry_rsi,wfc_10d_ma,wfc_20d_ma,wfc_30d_ma,wfc_rsi,citi_10d_ma,citi_20d_ma,citi_30d_ma,citi_rsi
6/21/2007,23.75,16.484,17.862,18.386,49.84,20101918,49.89,19282152,30.46,46804710,62.42,11403145,1533.71,1011106852,68.98,3089500,5.0814,5.21,2.7,4.4,108.5,1.2,536.6,1750327,72.4607,11540809,58.44,2444863,35.63,9798007,48.945,48.984,47.70133333,51.87878788,49.19,49.1905,48.684,53.75,71.10929,71.474645,69.39309667,50.22599501,56.982,56.466,56.53233333,72.21269297,35.308,35.292,34.94666667,52.44215938,518.82,518.635,506.67071,55.57065217
6/20/2007,24.349,17.418,17.778,18.49,49.46,14921249,49.98,22397359,30.51,45632827,62.33,8511087,1531.05,1781266770,69.49,4064369,5.1335,5.23,2.7,4.4,108.5,1.2,534.4,1947915,72.4856,15282197,58.28,3044190,35.68,11981544,49.012,49.026,47.86366667,59.197787,49.251,49.226,48.75733333,68.99224806,71.06385,71.604925,69.67995,57.84149551,57.1,56.605,56.54766667,70.28380634,35.344,35.299,34.98866667,61.11111111,520.76,519.79,508.7373767,66.50406504
6/19/2007,20.361,16.27,16.539,17.943,50.85,12251872,50.55,25300989,30.49,100941383,62.77,16817023,1532.91,1180101974,68.75,6162600,5.1627,5.26,2.7,4.4,108.5,1.2,542.6,1825719,72.8841,9275846,58.83,2679827,36.38,10028917,49.163,49.1245,48.07933333,70.875,49.351,49.2855,48.85466667,75.52447552,71.03026,71.70663,69.96342,60.17426487,57.277,56.7565,56.59833333,71.00977199,35.414,35.3485,35.052,76.64835165,523.16,521.12,511.2073767,74.84756098
6/18/2007,20.96,16.052,16.472,17.972,50.43,9293861,49.91,13258812,30.52,59068837,62.45,9093373,1522.97,1337947733,68.46,3120147,5.2212,5.28,2.7,4.4,108.5,1.2,539.6,1205567,73.4652,11239236,58.44,3927313,36.14,8273229,49.291,49.15,48.29333333,61.48459384,49.41,49.291,48.93766667,62.27678571,71.24378,71.73739,70.28326,53.91101613,57.486,56.9075,56.68133333,63.40640809,35.477,35.376,35.131,65.9375,525.48,521.87,513.67071,68.84984026
6/15/2007,21.139,16.081,16.482,17.974,50.56,18354200,50.08,27195844,30.39,64472483,62.18,14816600,1515.67,1315300418,68.87,5758200,5.1979,5.26,2.7,4.4,108.5,1.2,539.8,2697069,73.4486,10336100,59.05,1486870,35.97,13530375,49.502,49.1865,48.487,61.21297602,49.529,49.314,49.017,60.78886311,71.62564,71.79482,70.57788,51.81466713,57.715,57.095,56.782,65.55555556,35.557,35.402,35.17633333,60.12658228,528.17,522.765,515.9340433,68.44660194
6/14/2007,20.793,15.968,16.477,18.039,50.32,12440636,50.08,17525637,29.85,56981841,61.83,11921464,1493,1073590076,67.43,7725936,5.2928,5.26,2.7,4.4,108.5,1.2,536.7,1718389,74.1293,9578400,58.83,10965147,35.89,7808654,49.638,49.2,48.69,60.6993007,49.628,49.343,49.106,58.6797066,71.99255,71.838285,70.90319,55.71158261,57.922,57.257,56.86733333,63.28725038,35.618,35.4195,35.254,58.82352941,530.03,523.34,518.1673767,67.24960254
6/13/2007,20.844,16.011,16.477,18.047,50.29,14508000,50.36,19871600,30.02,48485758,62.27,9092196,1509.12,1311831083,66.72,4880230,5.1514,5.27,2.7,4.4,108.5,1.2,536.8,2318500,74.0214,7704400,60.62,2864441,35.94,10917000,49.743,49.238,48.897,57.16440422,49.745,49.3845,49.21033333,59.66587112,72.31215,71.919355,71.22057,53.91339167,58.395,57.4955,57.00733333,71.5496368,35.679,35.4445,35.33033333,54.45205479,531.9,523.76,520.1240433,65.31986532
6/12/2007,15.962,14.893,15.98,18.031,49.35,15389880,49.66,17096600,30.05,61346669,62.13,13943784,1507.67,1607736326,64.35,5183800,5.0991,5.26,2.7,4.4,108.5,1.2,526,2056390,71.971,9085200,60.3,2097583,35.18,12201486,49.818,49.299,49.033,51.35501355,49.831,49.442,49.268,53.64806867,72.52715,71.985405,71.42427,53.0818493,58.79,57.718,57.13533333,75.0952986,35.691,35.4575,35.35066667,45.2991453,533.35,524.355,521.2533333,57.05882353
6/11/2007,13.635,13.648,15.136,17.787,50.43,11251980,50.05,13209822,29.62,71980635,62,14247800,1490.72,1276019795,63.44,4448587,5.13,5.25,2.7,4.4,108.5,1.2,534.7,1458159,73.4984,5706938,60.28,1699711,35.48,7012622,50.025,49.445,49.20266667,62.75773196,49.951,49.5265,49.36466667,62.55411255,72.8592,72.137325,71.68921667,68.91268212,59.071,57.9195,57.248,73.52941176,35.731,35.5095,35.40233333,54.46685879,535.13,525.59,522.64,64.89071038
6/8/2007,13.983,13.82,15.155,17.816,50.41,13564675,50.26,18442747,30.29,38252861,62.9,11539619,1517.38,1329070263,64.05,3218900,4.9641,5.25,2.7,4.4,108.5,1.2,533.3,2284872,72.303,6499654,60.11,1923133,35.34,10657337,50.194,49.526,49.31133333,59.97248968,50.082,49.599,49.435,62.6349892,73.06673,72.119475,71.84231667,58.69885387,59.318,58.0825,57.356,71.89542484,35.763,35.5205,35.41866667,50.85714286,536.05,526.455,523.4633333,60.95100865
6/7/2007,11.302,13.301,15.111,17.719,49.82,17412969,49.79,21053088,30.58,44286891,63.31,11412712,1530.95,1063078455,64.82,3702295,4.9908,5.19,2.7,4.4,108.5,1.2,525.2,2253734,70.3356,10804200,60.15,1705507,35.06,12460651,50.192,49.5685,49.38666667,53.82585752,50.072,49.631,49.48433333,56,72.85422,71.981755,71.93450333,47.99170111,59.489,58.2355,57.47366667,81.23167155,35.706,35.507,35.43,46.38069705,534.91,526.865,524.06,54.58064516
6/6/2007,9.613,12.763,14.971,17.593,50.56,13885374,50.33,14599135,30.715,41437458,63.6,10090375,1539.18,1158237600,64.61,2725680,4.9271,5.24,2.7,4.4,108.5,1.2,533.3,1940681,71.3567,7643800,59.99,1464956,35.59,11557742,50.302,49.657,49.45133333,62.76041667,50.107,49.679,49.51966667,64.85436893,72.74133,71.90259,71.98372667,56.28813129,59.66,58.38,57.62333333,77.91411043,35.697,35.5205,35.43166667,56.64160401,534.8,527.78,524.7933333,63.79746835
6/5/2007,7.82,12.924,14.642,17.494,51.22,13617278,50.66,12632840,30.59,39492585,63.41,10838778,1536.34,1471599367,64.37,2400000,4.9516,5.23,2.7,4.4,108.5,1.2,539,1443719,71.0993,4645128,59.7,1858814,35.91,13275796,50.339,49.751,49.52933333,67.65432099,50.118,49.7345,49.563,66.66666667,72.56285,71.796555,71.99203667,53.80379141,59.747,58.512,57.75333333,69.59578207,35.65,35.532,35.449,59.67365967,534.44,528.8,525.56,63.93442623
6/4/2007,7.555,12.793,14.537,17.462,51.57,11122478,50.85,12759655,30.6901,86403439,63.27,12162300,1530.62,1271305333,63.92,2791660,4.8879,5.28,2.7,4.4,108.5,1.2,541.5,1583629,71.2654,3702919,59.49,1641924,36.2,7493953,50.453,49.872,49.58433333,67.61433869,50.212,49.811,49.598,67.21014493,72.34287,71.793325,71.93921667,54.24316522,59.852,58.669,57.889,66.14310646,35.656,35.5665,35.46933333,63.05309735,534.63,530.055,526.1233333,61.66219839
6/1/2007,7.179,12.739,14.426,17.455,51.9,12104746,50.78,14294044,31.11,57446053,63.22,10866580,1530.23,1164194472,64.09,2930000,4.8675,5.25,2.6,4.5,106.3,1.2,545.1,1736424,71.448,5350200,59.3,1518562,36.4,9860871,50.587,50.0445,49.65333333,64.10958904,50.282,49.9055,49.63666667,59.56989247,72.14281,71.884225,71.91081667,45.02480963,59.877,58.796,58.02233333,58.3984375,35.699,35.628,35.501,59.36739659,535.16,531.665,526.8966667,56.46879756
5/31/2007,7.025,13.015,14.747,17.474,51.83,11024061,50.71,16037534,30.79,42377685,63.05,10059446,1518.11,979558024,64.16,2806300,4.8818,5.29,2.6,4.5,106.3,1.2,544.9,1956605,70.593,4896900,58.72,2280287,36.09,11080755,50.738,50.188,49.71266667,66.9527897,50.345,49.9865,49.677,57.88336933,71.78918,71.890865,71.82191667,41.40321233,59.866,58.894,58.12666667,53.97111913,35.719,35.6685,35.51933333,54.69107551,535.98,533.005,527.5533333,58.24175824
